,0,1,2,3,4,5
0,988.3,989.1,990.0,990.3,991.2,992.4
1,972.6,974.0,975.3,975.6,977.0,978.0
2,955.5,956.4,957.4,957.6,958.5,959.8
3,953.4,954.8,956.0,956.3,957.5,958.6
4,951.1,952.0,952.8,953.1,954.0,955.2
5,947.2,948.1,948.8,949.3,950.2,951.5
6,943.2,944.8,946.0,946.4,947.5,948.6
7,960.4,962.0,963.0,963.4,964.5,965.8
8,972.8,973.6,974.6,974.8,975.7,976.9
9,979.5,981.1,982.2,982.5,983.8,985.0
10,1009.7,1010.5,1011.4,1011.7,1012.6,1013.8
11,1006.3,1007.2,1008.1,1008.3,1009.2,1010.4
