[s],CH1[V],CH2[V]
9.429600E-01,-2.000E-03,3.648E-01
9.429600E-01,-4.000E-04,4.032E-01
9.429624E-01,-1.600E-03,3.648E-01
9.429624E-01,-4.000E-04,4.032E-01
9.429648E-01,-1.200E-03,3.264E-01
9.429648E-01,-8.000E-04,4.032E-01
9.429672E-01,-2.000E-03,3.264E-01
9.429672E-01,-4.000E-04,4.032E-01
9.429696E-01,-2.000E-03,3.264E-01
9.429696E-01,-4.000E-04,4.032E-01
9.429720E-01,-2.000E-03,3.264E-01
9.429720E-01,-8.000E-04,4.032E-01
9.429744E-01,-1.600E-03,3.264E-01
9.429744E-01,-4.000E-04,4.032E-01
9.429768E-01,-1.600E-03,3.264E-01
9.429768E-01,-4.000E-04,4.032E-01
9.429792E-01,-2.000E-03,3.648E-01
9.429792E-01,-8.000E-04,4.032E-01
9.429816E-01,-1.600E-03,3.648E-01
9.429816E-01,-8.000E-04,4.032E-01
9.429840E-01,-1.600E-03,3.648E-01
9.429840E-01,-4.000E-04,4.416E-01
9.429864E-01,-1.600E-03,3.648E-01
9.429864E-01,-4.000E-04,4.032E-01
9.429888E-01,-1.600E-03,3.264E-01
9.429888E-01,-4.000E-04,4.032E-01
9.429912E-01,-1.600E-03,3.648E-01
9.429912E-01,-4.000E-04,4.032E-01
9.429936E-01,-2.000E-03,3.648E-01
9.429936E-01,-4.000E-04,4.032E-01
9.429960E-01,-1.600E-03,3.648E-01
9.429960E-01,-4.000E-04,4.032E-01
9.429984E-01,-1.200E-03,3.264E-01
9.429984E-01,-8.000E-04,4.416E-01
9.430008E-01,-1.600E-03,3.648E-01
9.430008E-01,-8.000E-04,4.032E-01
9.430032E-01,-1.200E-03,3.264E-01
9.430032E-01,-8.000E-04,4.416E-01
9.430056E-01,-2.000E-03,3.648E-01
9.430056E-01,-4.000E-04,4.416E-01
9.430080E-01,-1.600E-03,3.264E-01
9.430080E-01,-8.000E-04,4.416E-01
9.430104E-01,-1.600E-03,3.264E-01
9.430104E-01,-8.000E-04,4.032E-01
9.430128E-01,-1.600E-03,3.648E-01
9.430128E-01,-4.000E-04,4.032E-01
9.430152E-01,-2.000E-03,3.264E-01
9.430152E-01,-4.000E-04,4.032E-01
9.430176E-01,-2.000E-03,3.648E-01
9.430176E-01,-4.000E-04,4.032E-01
9.430200E-01,-1.600E-03,3.648E-01
9.430200E-01,-8.000E-04,4.416E-01
9.430224E-01,-2.000E-03,3.648E-01
9.430224E-01,-4.000E-04,4.032E-01
9.430248E-01,-2.000E-03,3.264E-01
9.430248E-01,-8.000E-04,4.032E-01
9.430272E-01,-1.600E-03,3.648E-01
9.430272E-01,-4.000E-04,4.416E-01
9.430296E-01,-1.200E-03,3.648E-01
9.430296E-01,-4.000E-04,4.416E-01
9.430320E-01,-1.600E-03,3.648E-01
9.430320E-01,-8.000E-04,4.032E-01
9.430344E-01,-1.600E-03,3.648E-01
9.430344E-01,-8.000E-04,4.416E-01
9.430368E-01,-1.600E-03,3.648E-01
9.430368E-01,-8.000E-04,4.032E-01
9.430392E-01,-1.600E-03,3.648E-01
9.430392E-01,-4.000E-04,4.032E-01
9.430416E-01,-1.600E-03,3.648E-01
9.430416E-01,-4.000E-04,4.032E-01
9.430440E-01,-1.600E-03,3.648E-01
9.430440E-01,-8.000E-04,4.032E-01
9.430464E-01,-1.600E-03,3.648E-01
9.430464E-01,-4.000E-04,4.032E-01
9.430488E-01,-1.200E-03,3.648E-01
9.430488E-01,-8.000E-04,4.032E-01
9.430512E-01,-2.000E-03,3.264E-01
9.430512E-01,-4.000E-04,4.032E-01
9.430536E-01,-2.000E-03,3.648E-01
9.430536E-01,-4.000E-04,4.032E-01
9.430560E-01,-1.600E-03,3.648E-01
9.430560E-01,-4.000E-04,4.416E-01
9.430584E-01,-1.600E-03,3.264E-01
9.430584E-01,-4.000E-04,4.032E-01
9.430608E-01,-1.600E-03,3.264E-01
9.430608E-01,-8.000E-04,4.032E-01
9.430632E-01,-1.600E-03,3.648E-01
9.430632E-01,-4.000E-04,4.032E-01
9.430656E-01,-2.000E-03,3.648E-01
9.430656E-01,-4.000E-04,4.032E-01
9.430680E-01,-1.600E-03,3.648E-01
9.430680E-01,-4.000E-04,4.032E-01
9.430704E-01,-1.600E-03,3.648E-01
9.430704E-01,-4.000E-04,4.416E-01
9.430728E-01,-2.000E-03,3.264E-01
9.430728E-01,-8.000E-04,4.032E-01
9.430752E-01,-1.600E-03,3.648E-01
9.430752E-01,-4.000E-04,4.032E-01
9.430776E-01,-2.000E-03,3.648E-01
9.430776E-01,-8.000E-04,4.416E-01
9.430800E-01,-1.600E-03,3.648E-01
9.430800E-01,-4.000E-04,4.032E-01
9.430824E-01,-1.600E-03,3.264E-01
9.430824E-01,-8.000E-04,4.032E-01
9.430848E-01,-1.600E-03,3.264E-01
9.430848E-01,-4.000E-04,4.032E-01
9.430872E-01,-1.600E-03,3.648E-01
9.430872E-01,-4.000E-04,4.032E-01
9.430896E-01,-1.600E-03,3.648E-01
9.430896E-01,-8.000E-04,4.032E-01
9.430920E-01,-1.600E-03,3.648E-01
9.430920E-01,-4.000E-04,4.032E-01
9.430944E-01,-1.200E-03,3.648E-01
9.430944E-01,-4.000E-04,4.032E-01
9.430968E-01,-1.200E-03,3.648E-01
9.430968E-01,-4.000E-04,4.032E-01
9.430992E-01,-1.200E-03,3.648E-01
9.430992E-01,-4.000E-04,4.032E-01
9.431016E-01,-1.600E-03,3.648E-01
9.431016E-01,-8.000E-04,4.032E-01
9.431040E-01,-1.600E-03,3.648E-01
9.431040E-01,-4.000E-04,4.032E-01
9.431064E-01,-1.200E-03,3.648E-01
9.431064E-01,-4.000E-04,4.416E-01
9.431088E-01,-2.000E-03,3.648E-01
9.431088E-01,-4.000E-04,4.032E-01
9.431112E-01,-1.600E-03,3.648E-01
9.431112E-01,-4.000E-04,4.032E-01
9.431136E-01,-2.000E-03,3.264E-01
9.431136E-01,-4.000E-04,4.416E-01
9.431160E-01,-1.200E-03,3.648E-01
9.431160E-01,-8.000E-04,4.416E-01
9.431184E-01,-1.600E-03,3.648E-01
9.431184E-01,-4.000E-04,4.032E-01
9.431208E-01,-1.600E-03,3.648E-01
9.431208E-01,-4.000E-04,4.032E-01
9.431232E-01,-1.600E-03,3.648E-01
9.431232E-01,-4.000E-04,4.032E-01
9.431256E-01,-1.600E-03,3.648E-01
9.431256E-01,-4.000E-04,4.032E-01
9.431280E-01,-1.600E-03,3.648E-01
9.431280E-01,-4.000E-04,4.032E-01
9.431304E-01,-1.600E-03,3.648E-01
9.431304E-01,-4.000E-04,4.032E-01
9.431328E-01,-1.600E-03,3.648E-01
9.431328E-01,-8.000E-04,4.032E-01
9.431352E-01,-2.000E-03,3.648E-01
9.431352E-01,-8.000E-04,4.032E-01
9.431376E-01,-2.000E-03,3.648E-01
9.431376E-01,-4.000E-04,4.032E-01
9.431400E-01,-1.600E-03,3.648E-01
9.431400E-01,-4.000E-04,4.032E-01
9.431424E-01,-1.600E-03,3.648E-01
9.431424E-01,-8.000E-04,4.032E-01
9.431448E-01,-1.600E-03,3.648E-01
9.431448E-01,-4.000E-04,4.416E-01
9.431472E-01,-1.600E-03,3.648E-01
9.431472E-01,-4.000E-04,4.032E-01
9.431496E-01,-1.200E-03,3.648E-01
9.431496E-01,-4.000E-04,4.032E-01
9.431520E-01,-1.600E-03,3.648E-01
9.431520E-01,-8.000E-04,4.032E-01
9.431544E-01,-1.600E-03,3.264E-01
9.431544E-01,-8.000E-04,4.416E-01
9.431568E-01,-1.600E-03,3.264E-01
9.431568E-01,-8.000E-04,4.032E-01
9.431592E-01,-1.600E-03,3.648E-01
9.431592E-01,-4.000E-04,4.032E-01
9.431616E-01,-1.200E-03,3.648E-01
9.431616E-01,-4.000E-04,4.032E-01
9.431640E-01,-1.600E-03,3.648E-01
9.431640E-01,-4.000E-04,4.032E-01
9.431664E-01,-1.600E-03,3.648E-01
9.431664E-01,-4.000E-04,4.032E-01
9.431688E-01,-1.200E-03,3.648E-01
9.431688E-01,-4.000E-04,4.032E-01
9.431712E-01,-1.600E-03,3.648E-01
9.431712E-01,-8.000E-04,4.032E-01
9.431736E-01,-1.600E-03,3.648E-01
9.431736E-01,-4.000E-04,4.032E-01
9.431760E-01,-1.600E-03,3.648E-01
9.431760E-01,-4.000E-04,4.032E-01
9.431784E-01,-1.600E-03,3.648E-01
9.431784E-01,-4.000E-04,4.416E-01
9.431808E-01,-1.200E-03,3.264E-01
9.431808E-01,-4.000E-04,4.416E-01
9.431832E-01,-2.000E-03,3.264E-01
9.431832E-01,-8.000E-04,4.032E-01
9.431856E-01,-1.600E-03,3.264E-01
9.431856E-01,-8.000E-04,4.032E-01
9.431880E-01,-1.200E-03,3.264E-01
9.431880E-01,-8.000E-04,4.032E-01
9.431904E-01,-1.600E-03,3.648E-01
9.431904E-01,-8.000E-04,4.032E-01
9.431928E-01,-1.600E-03,3.648E-01
9.431928E-01,-4.000E-04,4.032E-01
9.431952E-01,-1.600E-03,3.264E-01
9.431952E-01,-4.000E-04,4.032E-01
9.431976E-01,-1.600E-03,3.264E-01
9.431976E-01,-8.000E-04,4.032E-01
9.432000E-01,-1.600E-03,3.264E-01
9.432000E-01,-8.000E-04,4.032E-01
9.432024E-01,-1.600E-03,3.648E-01
9.432024E-01,-4.000E-04,4.032E-01
9.432048E-01,-1.600E-03,3.648E-01
9.432048E-01,-4.000E-04,4.032E-01
9.432072E-01,-1.600E-03,3.648E-01
9.432072E-01,-4.000E-04,4.032E-01
9.432096E-01,-1.600E-03,3.648E-01
9.432096E-01,-8.000E-04,4.032E-01
9.432120E-01,-1.600E-03,3.648E-01
9.432120E-01,-4.000E-04,4.032E-01
9.432144E-01,-1.600E-03,3.648E-01
9.432144E-01,-4.000E-04,4.032E-01
9.432168E-01,-1.600E-03,3.264E-01
9.432168E-01,-4.000E-04,4.032E-01
9.432192E-01,-2.400E-03,3.264E-01
