[s],CH1[V]
5.32084E-01,1.200E-03
5.32124E-01,1.200E-03
5.32164E-01,1.600E-03
5.32204E-01,1.600E-03
5.32244E-01,1.200E-03
5.32284E-01,1.600E-03
5.32324E-01,8.000E-04
5.32364E-01,1.200E-03
5.32404E-01,8.000E-04
5.32444E-01,1.200E-03
5.32484E-01,1.200E-03
5.32524E-01,1.200E-03
5.32564E-01,8.000E-04
5.32605E-01,1.600E-03
5.32645E-01,2.000E-03
5.32685E-01,1.200E-03
5.32725E-01,1.600E-03
5.32765E-01,1.600E-03
5.32805E-01,2.000E-03
5.32845E-01,1.200E-03
5.32885E-01,4.000E-04
5.32925E-01,1.200E-03
5.32965E-01,1.600E-03
5.33005E-01,2.000E-03
5.33045E-01,1.200E-03
5.33085E-01,1.200E-03
5.33125E-01,1.600E-03
5.33165E-01,1.600E-03
5.33205E-01,1.200E-03
5.33245E-01,1.600E-03
5.33285E-01,1.600E-03
5.33325E-01,1.600E-03
5.33365E-01,8.000E-04
5.33405E-01,1.600E-03
5.33445E-01,8.000E-04
5.33485E-01,2.000E-03
5.33525E-01,1.200E-03
5.33565E-01,2.400E-03
5.33605E-01,2.000E-03
5.33645E-01,1.200E-03
5.33685E-01,1.200E-03
5.33725E-01,2.000E-03
5.33765E-01,1.600E-03
5.33805E-01,2.000E-03
5.33845E-01,1.600E-03
5.33885E-01,1.200E-03
5.33925E-01,2.000E-03
5.33965E-01,1.600E-03
5.34005E-01,1.200E-03
5.34045E-01,1.600E-03
5.34085E-01,1.200E-03
5.34125E-01,1.600E-03
5.34165E-01,1.600E-03
5.34205E-01,1.600E-03
5.34245E-01,2.000E-03
5.34285E-01,2.000E-03
5.34325E-01,2.000E-03
5.34365E-01,1.600E-03
5.34405E-01,1.200E-03
5.34445E-01,2.400E-03
5.34485E-01,2.000E-03
5.34525E-01,2.000E-03
5.34565E-01,1.600E-03
5.34606E-01,1.600E-03
5.34646E-01,2.000E-03
5.34686E-01,1.600E-03
5.34726E-01,1.200E-03
5.34766E-01,2.000E-03
5.34806E-01,1.600E-03
5.34846E-01,2.400E-03
5.34886E-01,1.600E-03
5.34926E-01,1.600E-03
5.34966E-01,1.600E-03
5.35006E-01,1.600E-03
5.35046E-01,2.000E-03
5.35086E-01,1.600E-03
5.35126E-01,1.600E-03
5.35166E-01,1.600E-03
5.35206E-01,1.200E-03
5.35246E-01,2.000E-03
5.35286E-01,1.200E-03
5.35326E-01,2.000E-03
5.35366E-01,2.000E-03
5.35406E-01,2.000E-03
5.35446E-01,1.600E-03
5.35486E-01,1.600E-03
5.35526E-01,1.600E-03
5.35566E-01,1.600E-03
5.35606E-01,1.200E-03
5.35646E-01,1.600E-03
5.35686E-01,2.000E-03
5.35726E-01,1.600E-03
5.35766E-01,1.600E-03
5.35806E-01,2.000E-03
5.35846E-01,2.000E-03
5.35886E-01,2.000E-03
5.35926E-01,1.600E-03
5.35966E-01,1.600E-03
5.36006E-01,2.400E-03
5.36046E-01,1.600E-03
5.36086E-01,2.400E-03
5.36126E-01,2.000E-03
5.36166E-01,1.600E-03
5.36206E-01,2.000E-03
5.36246E-01,1.600E-03
5.36286E-01,2.400E-03
5.36326E-01,1.200E-03
5.36366E-01,2.000E-03
5.36406E-01,2.000E-03
5.36446E-01,1.600E-03
5.36486E-01,1.200E-03
5.36526E-01,1.600E-03
5.36566E-01,2.000E-03
5.36607E-01,2.000E-03
5.36647E-01,1.200E-03
5.36687E-01,2.000E-03
5.36727E-01,2.000E-03
5.36767E-01,2.000E-03
5.36807E-01,1.600E-03
5.36847E-01,1.600E-03
5.36887E-01,1.600E-03
5.36927E-01,1.600E-03
5.36967E-01,1.200E-03
5.37007E-01,1.600E-03
5.37047E-01,1.600E-03
5.37087E-01,2.000E-03
5.37127E-01,2.400E-03
5.37167E-01,1.200E-03
5.37207E-01,2.000E-03
5.37247E-01,1.200E-03
5.37287E-01,1.600E-03
5.37327E-01,1.200E-03
5.37367E-01,1.600E-03
5.37407E-01,1.600E-03
5.37447E-01,1.200E-03
5.37487E-01,1.200E-03
5.37527E-01,1.200E-03
5.37567E-01,1.200E-03
5.37607E-01,1.600E-03
5.37647E-01,1.200E-03
5.37687E-01,1.200E-03
5.37727E-01,1.600E-03
5.37767E-01,1.600E-03
5.37807E-01,1.200E-03
5.37847E-01,1.600E-03
5.37887E-01,1.600E-03
5.37927E-01,1.600E-03
5.37967E-01,1.200E-03
5.38007E-01,2.000E-03
5.38047E-01,1.200E-03
5.38087E-01,1.200E-03
5.38127E-01,1.200E-03
5.38167E-01,8.000E-04
5.38207E-01,1.200E-03
5.38247E-01,2.000E-03
5.38287E-01,1.200E-03
5.38327E-01,1.200E-03
5.38367E-01,1.200E-03
5.38407E-01,1.200E-03
5.38447E-01,1.600E-03
5.38487E-01,1.200E-03
5.38527E-01,1.200E-03
5.38567E-01,1.200E-03
5.38608E-01,1.600E-03
5.38648E-01,1.600E-03
5.38688E-01,1.600E-03
5.38728E-01,1.600E-03
5.38768E-01,4.000E-04
5.38808E-01,1.600E-03
5.38848E-01,1.600E-03
5.38888E-01,8.000E-04
5.38928E-01,1.200E-03
5.38968E-01,1.200E-03
5.39008E-01,8.000E-04
5.39048E-01,1.200E-03
5.39088E-01,8.000E-04
5.39128E-01,1.200E-03
5.39168E-01,1.200E-03
5.39208E-01,1.600E-03
5.39248E-01,2.000E-03
5.39288E-01,8.000E-04
5.39328E-01,1.200E-03
5.39368E-01,1.600E-03
5.39408E-01,1.200E-03
5.39448E-01,1.600E-03
5.39488E-01,1.200E-03
5.39528E-01,1.200E-03
5.39568E-01,1.200E-03
5.39608E-01,8.000E-04
5.39648E-01,8.000E-04
5.39688E-01,8.000E-04
5.39728E-01,1.600E-03
5.39768E-01,1.200E-03
5.39808E-01,1.200E-03
5.39848E-01,8.000E-04
5.39888E-01,1.200E-03
5.39928E-01,1.600E-03
5.39968E-01,8.000E-04
5.40008E-01,1.200E-03
5.40048E-01,4.000E-04
5.40088E-01,8.000E-04
5.40128E-01,1.600E-03
5.40168E-01,4.000E-04
5.40208E-01,4.000E-04
5.40248E-01,1.600E-03
5.40288E-01,8.000E-04
5.40328E-01,4.000E-04
5.40368E-01,1.600E-03
5.40408E-01,8.000E-04
5.40448E-01,1.600E-03
5.40488E-01,8.000E-04
5.40528E-01,8.000E-04
5.40568E-01,8.000E-04
5.40609E-01,8.000E-04
5.40649E-01,4.000E-04
5.40689E-01,1.200E-03
5.40729E-01,8.000E-04
5.40769E-01,1.200E-03
5.40809E-01,8.000E-04
5.40849E-01,4.000E-04
5.40889E-01,1.200E-03
5.40929E-01,2.000E-03
5.40969E-01,8.000E-04
5.41009E-01,1.200E-03
5.41049E-01,8.000E-04
5.41089E-01,1.600E-03
5.41129E-01,1.200E-03
5.41169E-01,8.000E-04
5.41209E-01,1.200E-03
5.41249E-01,8.000E-04
5.41289E-01,1.600E-03
5.41329E-01,1.200E-03
5.41369E-01,8.000E-04
5.41409E-01,1.200E-03
5.41449E-01,1.200E-03
5.41489E-01,8.000E-04
5.41529E-01,1.200E-03
5.41569E-01,1.200E-03
5.41609E-01,1.200E-03
5.41649E-01,1.200E-03
5.41689E-01,8.000E-04
5.41729E-01,8.000E-04
5.41769E-01,8.000E-04
5.41809E-01,8.000E-04
5.41849E-01,1.600E-03
5.41889E-01,2.000E-03
5.41929E-01,1.600E-03
5.41969E-01,8.000E-04
5.42009E-01,1.200E-03
5.42049E-01,8.000E-04
5.42089E-01,1.600E-03
5.42129E-01,4.000E-04
5.42169E-01,1.200E-03
5.42209E-01,1.200E-03
5.42249E-01,1.200E-03
5.42289E-01,1.200E-03
5.42329E-01,1.200E-03
5.42369E-01,1.200E-03
5.42409E-01,8.000E-04
5.42449E-01,8.000E-04
5.42489E-01,1.200E-03
5.42529E-01,1.200E-03
5.42569E-01,1.200E-03
5.42610E-01,8.000E-04
5.42650E-01,1.200E-03
5.42690E-01,1.200E-03
5.42730E-01,1.200E-03
5.42770E-01,1.600E-03
5.42810E-01,1.200E-03
5.42850E-01,1.600E-03
5.42890E-01,1.600E-03
5.42930E-01,1.200E-03
5.42970E-01,1.200E-03
5.43010E-01,1.200E-03
5.43050E-01,1.200E-03
5.43090E-01,1.200E-03
5.43130E-01,2.000E-03
5.43170E-01,1.200E-03
5.43210E-01,1.600E-03
5.43250E-01,1.200E-03
5.43290E-01,1.600E-03
5.43330E-01,1.200E-03
5.43370E-01,1.200E-03
5.43410E-01,1.200E-03
5.43450E-01,1.200E-03
5.43490E-01,1.200E-03
5.43530E-01,2.000E-03
5.43570E-01,1.600E-03
5.43610E-01,2.000E-03
5.43650E-01,2.000E-03
5.43690E-01,1.600E-03
5.43730E-01,2.000E-03
5.43770E-01,1.600E-03
5.43810E-01,1.600E-03
5.43850E-01,2.000E-03
5.43890E-01,2.400E-03
5.43930E-01,2.000E-03
5.43970E-01,1.200E-03
5.44010E-01,1.600E-03
5.44050E-01,1.600E-03
5.44090E-01,2.400E-03
5.44130E-01,1.600E-03
5.44170E-01,1.600E-03
5.44210E-01,1.600E-03
5.44250E-01,1.600E-03
5.44290E-01,1.600E-03
5.44330E-01,1.600E-03
5.44370E-01,2.000E-03
5.44410E-01,1.600E-03
5.44450E-01,1.600E-03
5.44490E-01,2.000E-03
5.44530E-01,2.000E-03
5.44570E-01,1.600E-03
5.44611E-01,1.600E-03
5.44651E-01,1.600E-03
5.44691E-01,1.600E-03
5.44731E-01,1.200E-03
5.44771E-01,1.600E-03
5.44811E-01,2.400E-03
5.44851E-01,2.000E-03
5.44891E-01,2.400E-03
