[s],CH1[V],CH2[V]
9.829601E-01,4.000E-04,3.264E-01
9.829601E-01,1.600E-03,3.648E-01
9.829625E-01,4.000E-04,2.880E-01
9.829625E-01,1.600E-03,3.648E-01
9.829649E-01,4.000E-04,2.880E-01
9.829649E-01,1.600E-03,3.648E-01
9.829673E-01,4.000E-04,2.880E-01
9.829673E-01,1.600E-03,3.648E-01
9.829697E-01,8.000E-04,2.880E-01
9.829697E-01,1.600E-03,3.648E-01
9.829721E-01,4.000E-04,2.880E-01
9.829721E-01,1.600E-03,3.648E-01
9.829745E-01,3.300E-19,2.880E-01
9.829745E-01,1.600E-03,3.264E-01
9.829769E-01,3.300E-19,2.880E-01
9.829769E-01,1.600E-03,3.648E-01
9.829793E-01,4.000E-04,2.880E-01
9.829793E-01,1.600E-03,3.648E-01
9.829817E-01,8.000E-04,2.880E-01
9.829817E-01,1.200E-03,3.648E-01
9.829841E-01,4.000E-04,2.880E-01
9.829841E-01,1.600E-03,3.264E-01
9.829865E-01,4.000E-04,2.880E-01
9.829865E-01,1.200E-03,3.648E-01
9.829889E-01,4.000E-04,2.880E-01
9.829889E-01,1.200E-03,3.264E-01
9.829913E-01,8.000E-04,2.880E-01
9.829913E-01,1.200E-03,3.264E-01
9.829937E-01,8.000E-04,2.880E-01
9.829937E-01,1.200E-03,3.648E-01
9.829961E-01,4.000E-04,2.880E-01
9.829961E-01,1.200E-03,3.648E-01
9.829985E-01,8.000E-04,2.880E-01
9.829985E-01,1.600E-03,3.648E-01
9.830009E-01,4.000E-04,2.880E-01
9.830009E-01,1.600E-03,3.648E-01
9.830033E-01,4.000E-04,2.880E-01
9.830033E-01,1.600E-03,3.264E-01
9.830057E-01,4.000E-04,2.880E-01
9.830057E-01,1.200E-03,3.648E-01
9.830081E-01,4.000E-04,2.880E-01
9.830081E-01,1.600E-03,3.648E-01
9.830105E-01,8.000E-04,2.880E-01
9.830105E-01,1.600E-03,3.648E-01
9.830129E-01,4.000E-04,2.880E-01
9.830129E-01,1.600E-03,3.648E-01
9.830153E-01,4.000E-04,2.880E-01
9.830153E-01,1.600E-03,3.648E-01
9.830177E-01,4.000E-04,2.880E-01
9.830177E-01,1.600E-03,3.648E-01
9.830201E-01,8.000E-04,2.880E-01
9.830201E-01,1.600E-03,3.648E-01
9.830225E-01,4.000E-04,2.880E-01
9.830225E-01,1.600E-03,3.648E-01
9.830249E-01,4.000E-04,2.880E-01
9.830249E-01,1.200E-03,3.264E-01
9.830273E-01,4.000E-04,2.880E-01
9.830273E-01,1.200E-03,3.264E-01
9.830297E-01,3.300E-19,2.496E-01
9.830297E-01,1.200E-03,3.648E-01
9.830321E-01,4.000E-04,2.880E-01
9.830321E-01,1.600E-03,3.648E-01
9.830345E-01,4.000E-04,2.880E-01
9.830345E-01,1.600E-03,3.648E-01
9.830369E-01,4.000E-04,2.880E-01
9.830369E-01,1.600E-03,3.648E-01
9.830393E-01,8.000E-04,2.880E-01
9.830393E-01,1.600E-03,3.648E-01
9.830417E-01,4.000E-04,2.880E-01
9.830417E-01,1.200E-03,3.648E-01
9.830441E-01,8.000E-04,2.880E-01
9.830441E-01,1.600E-03,3.648E-01
9.830465E-01,8.000E-04,2.880E-01
9.830465E-01,1.600E-03,3.648E-01
9.830489E-01,4.000E-04,2.880E-01
9.830489E-01,1.600E-03,3.648E-01
9.830513E-01,4.000E-04,2.880E-01
9.830513E-01,1.600E-03,3.648E-01
9.830537E-01,4.000E-04,2.880E-01
9.830537E-01,1.200E-03,3.648E-01
9.830561E-01,4.000E-04,2.880E-01
9.830561E-01,1.200E-03,3.648E-01
9.830585E-01,3.300E-19,3.264E-01
9.830585E-01,1.600E-03,3.648E-01
9.830609E-01,3.300E-19,2.880E-01
