[s],CH1[V],CH2[V]
9.631999E-01,1.200E-03,9.408E-01
9.631999E-01,2.400E-03,1.018E+00
9.632023E-01,1.200E-03,9.408E-01
9.632023E-01,2.400E-03,1.018E+00
9.632047E-01,8.000E-04,9.408E-01
9.632047E-01,2.000E-03,1.056E+00
9.632071E-01,1.200E-03,9.408E-01
9.632071E-01,2.400E-03,1.018E+00
9.632095E-01,1.200E-03,9.792E-01
9.632095E-01,2.000E-03,1.018E+00
9.632119E-01,1.200E-03,9.792E-01
9.632119E-01,2.400E-03,1.018E+00
9.632143E-01,1.200E-03,9.408E-01
9.632143E-01,2.000E-03,1.018E+00
9.632167E-01,1.200E-03,9.792E-01
9.632167E-01,2.000E-03,1.018E+00
9.632191E-01,1.200E-03,9.792E-01
9.632191E-01,2.400E-03,1.018E+00
9.632215E-01,1.200E-03,9.408E-01
9.632215E-01,2.000E-03,1.018E+00
9.632239E-01,1.200E-03,9.408E-01
9.632239E-01,2.000E-03,1.056E+00
9.632263E-01,8.000E-04,9.408E-01
9.632263E-01,2.400E-03,1.018E+00
9.632287E-01,1.200E-03,9.792E-01
9.632287E-01,2.400E-03,1.018E+00
9.632311E-01,1.200E-03,9.792E-01
9.632311E-01,2.400E-03,1.018E+00
9.632335E-01,1.600E-03,9.408E-01
9.632335E-01,2.400E-03,1.018E+00
9.632359E-01,8.000E-04,9.408E-01
9.632359E-01,2.000E-03,1.018E+00
9.632383E-01,1.200E-03,9.792E-01
9.632383E-01,2.400E-03,1.018E+00
9.632407E-01,8.000E-04,9.792E-01
9.632407E-01,2.400E-03,1.018E+00
9.632431E-01,1.200E-03,9.792E-01
9.632431E-01,1.600E-03,1.018E+00
9.632455E-01,1.200E-03,9.408E-01
9.632455E-01,2.000E-03,1.018E+00
9.632479E-01,1.600E-03,9.408E-01
9.632479E-01,2.400E-03,1.018E+00
9.632503E-01,1.200E-03,9.408E-01
9.632503E-01,2.400E-03,1.018E+00
9.632527E-01,8.000E-04,9.792E-01
9.632527E-01,2.400E-03,1.018E+00
9.632551E-01,1.200E-03,9.792E-01
9.632551E-01,2.000E-03,1.018E+00
9.632575E-01,1.200E-03,9.792E-01
9.632575E-01,2.400E-03,1.018E+00
9.632599E-01,8.000E-04,9.408E-01
9.632599E-01,2.000E-03,1.056E+00
9.632623E-01,8.000E-04,9.408E-01
9.632623E-01,2.000E-03,1.018E+00
9.632647E-01,1.200E-03,9.792E-01
9.632647E-01,2.000E-03,1.018E+00
9.632671E-01,1.200E-03,9.792E-01
9.632671E-01,2.400E-03,1.018E+00
9.632695E-01,1.200E-03,9.408E-01
9.632695E-01,2.400E-03,1.018E+00
9.632719E-01,1.200E-03,9.792E-01
9.632719E-01,2.400E-03,1.018E+00
9.632743E-01,8.000E-04,9.792E-01
9.632743E-01,2.400E-03,1.018E+00
9.632767E-01,1.200E-03,9.408E-01
9.632767E-01,2.400E-03,1.018E+00
9.632791E-01,1.200E-03,9.792E-01
9.632791E-01,2.000E-03,1.018E+00
9.632815E-01,1.200E-03,9.408E-01
9.632815E-01,2.000E-03,1.018E+00
9.632839E-01,1.200E-03,9.792E-01
9.632839E-01,2.400E-03,1.018E+00
9.632863E-01,1.200E-03,9.408E-01
9.632863E-01,2.400E-03,1.018E+00
9.632887E-01,1.200E-03,9.792E-01
9.632887E-01,2.400E-03,1.018E+00
9.632911E-01,8.000E-04,9.792E-01
9.632911E-01,2.000E-03,1.018E+00
9.632935E-01,8.000E-04,9.792E-01
9.632935E-01,2.400E-03,1.018E+00
9.632959E-01,1.200E-03,9.792E-01
9.632959E-01,2.400E-03,1.018E+00
9.632983E-01,1.200E-03,9.408E-01
9.632983E-01,1.600E-03,1.018E+00
9.633007E-01,1.200E-03,9.408E-01
9.633007E-01,2.000E-03,1.018E+00
9.633031E-01,1.200E-03,9.792E-01
9.633031E-01,2.000E-03,1.018E+00
9.633055E-01,1.200E-03,9.408E-01
9.633055E-01,2.000E-03,1.018E+00
9.633079E-01,1.200E-03,9.408E-01
9.633079E-01,2.400E-03,1.018E+00
9.633103E-01,1.200E-03,9.792E-01
9.633103E-01,2.400E-03,9.792E-01
9.633127E-01,1.200E-03,9.408E-01
9.633127E-01,2.400E-03,1.056E+00
9.633151E-01,1.200E-03,9.408E-01
9.633151E-01,2.000E-03,1.018E+00
9.633175E-01,1.200E-03,9.792E-01
9.633175E-01,2.400E-03,1.018E+00
9.633199E-01,1.200E-03,9.408E-01
9.633199E-01,2.400E-03,1.018E+00
9.633223E-01,1.200E-03,9.792E-01
9.633223E-01,2.000E-03,1.018E+00
9.633247E-01,1.200E-03,9.408E-01
9.633247E-01,2.000E-03,1.018E+00
9.633271E-01,1.200E-03,9.408E-01
9.633271E-01,2.000E-03,1.018E+00
9.633295E-01,1.200E-03,9.408E-01
9.633295E-01,2.000E-03,1.018E+00
9.633319E-01,1.600E-03,9.408E-01
9.633319E-01,2.000E-03,1.018E+00
9.633343E-01,1.600E-03,9.792E-01
9.633343E-01,2.000E-03,1.018E+00
9.633367E-01,1.200E-03,9.792E-01
9.633367E-01,2.400E-03,1.018E+00
9.633391E-01,1.200E-03,9.408E-01
9.633391E-01,2.400E-03,1.018E+00
9.633415E-01,8.000E-04,9.408E-01
9.633415E-01,2.000E-03,1.018E+00
9.633439E-01,8.000E-04,9.792E-01
9.633439E-01,2.400E-03,1.018E+00
9.633463E-01,8.000E-04,9.408E-01
9.633463E-01,2.400E-03,1.018E+00
9.633487E-01,1.200E-03,9.792E-01
9.633487E-01,2.000E-03,1.018E+00
9.633511E-01,1.200E-03,9.792E-01
9.633511E-01,2.000E-03,1.018E+00
9.633535E-01,1.200E-03,9.408E-01
9.633535E-01,2.000E-03,1.056E+00
9.633559E-01,1.200E-03,9.792E-01
9.633559E-01,2.000E-03,1.018E+00
9.633583E-01,1.200E-03,9.792E-01
9.633583E-01,2.000E-03,1.018E+00
9.633607E-01,1.200E-03,9.408E-01
9.633607E-01,2.000E-03,1.018E+00
9.633631E-01,1.200E-03,9.792E-01
9.633631E-01,2.800E-03,1.018E+00
9.633655E-01,1.200E-03,9.792E-01
9.633655E-01,2.000E-03,1.018E+00
9.633679E-01,1.200E-03,9.792E-01
9.633679E-01,2.000E-03,1.018E+00
9.633703E-01,1.200E-03,9.792E-01
9.633703E-01,2.000E-03,1.018E+00
9.633727E-01,1.200E-03,9.408E-01
9.633727E-01,2.400E-03,1.056E+00
9.633751E-01,1.200E-03,9.792E-01
9.633751E-01,2.400E-03,1.018E+00
9.633775E-01,1.200E-03,9.408E-01
9.633775E-01,2.400E-03,1.018E+00
9.633799E-01,1.200E-03,9.792E-01
9.633799E-01,2.400E-03,1.018E+00
9.633823E-01,1.200E-03,9.408E-01
