[s],CH1[V],CH2[V]
9.698400E-01,-8.800E-03,9.024E-01
9.698400E-01,-7.600E-03,9.792E-01
9.698424E-01,-8.800E-03,9.024E-01
9.698424E-01,-8.000E-03,9.408E-01
9.698448E-01,-9.200E-03,9.024E-01
9.698448E-01,-7.600E-03,9.408E-01
9.698472E-01,-9.200E-03,9.024E-01
9.698472E-01,-7.600E-03,9.408E-01
9.698496E-01,-8.800E-03,9.024E-01
9.698496E-01,-7.200E-03,9.408E-01
9.698520E-01,-8.400E-03,9.024E-01
9.698520E-01,-7.600E-03,9.408E-01
9.698544E-01,-8.800E-03,9.024E-01
9.698544E-01,-7.600E-03,9.408E-01
9.698568E-01,-8.800E-03,9.024E-01
9.698568E-01,-8.000E-03,9.792E-01
9.698592E-01,-8.800E-03,9.024E-01
9.698592E-01,-7.600E-03,9.408E-01
9.698616E-01,-8.800E-03,9.024E-01
9.698616E-01,-7.600E-03,9.408E-01
9.698640E-01,-8.800E-03,9.024E-01
9.698640E-01,-8.000E-03,9.408E-01
9.698664E-01,-8.400E-03,8.640E-01
9.698664E-01,-7.600E-03,9.792E-01
9.698688E-01,-8.800E-03,9.024E-01
9.698688E-01,-7.600E-03,9.792E-01
9.698712E-01,-8.400E-03,9.024E-01
9.698712E-01,-8.000E-03,9.408E-01
9.698736E-01,-8.800E-03,8.640E-01
9.698736E-01,-7.600E-03,9.408E-01
9.698760E-01,-9.200E-03,9.024E-01
9.698760E-01,-8.000E-03,9.792E-01
9.698784E-01,-8.800E-03,9.024E-01
9.698784E-01,-8.000E-03,9.792E-01
9.698808E-01,-8.800E-03,9.024E-01
9.698808E-01,-8.000E-03,9.792E-01
9.698832E-01,-8.800E-03,9.024E-01
9.698832E-01,-8.000E-03,9.408E-01
9.698856E-01,-8.800E-03,9.024E-01
9.698856E-01,-8.000E-03,9.408E-01
9.698880E-01,-8.400E-03,9.024E-01
9.698880E-01,-7.600E-03,9.408E-01
9.698904E-01,-9.200E-03,9.024E-01
9.698904E-01,-7.600E-03,9.408E-01
9.698928E-01,-9.200E-03,9.024E-01
9.698928E-01,-8.000E-03,9.408E-01
9.698952E-01,-8.800E-03,9.024E-01
9.698952E-01,-8.000E-03,9.408E-01
9.698976E-01,-9.200E-03,9.024E-01
9.698976E-01,-7.600E-03,9.408E-01
9.699000E-01,-9.200E-03,9.024E-01
9.699000E-01,-8.000E-03,9.792E-01
9.699024E-01,-8.800E-03,9.024E-01
9.699024E-01,-8.000E-03,9.408E-01
9.699048E-01,-8.800E-03,9.024E-01
9.699048E-01,-8.000E-03,9.408E-01
9.699072E-01,-8.800E-03,9.024E-01
9.699072E-01,-8.000E-03,9.792E-01
9.699096E-01,-8.800E-03,8.640E-01
9.699096E-01,-8.000E-03,9.792E-01
9.699120E-01,-9.200E-03,9.024E-01
9.699120E-01,-8.000E-03,9.792E-01
9.699144E-01,-8.800E-03,9.024E-01
9.699144E-01,-8.000E-03,9.408E-01
9.699168E-01,-8.800E-03,9.024E-01
9.699168E-01,-7.600E-03,9.792E-01
9.699192E-01,-8.800E-03,9.024E-01
9.699192E-01,-8.000E-03,9.792E-01
9.699216E-01,-8.800E-03,9.024E-01
9.699216E-01,-8.000E-03,9.408E-01
9.699240E-01,-9.200E-03,9.024E-01
9.699240E-01,-8.000E-03,9.792E-01
9.699264E-01,-8.800E-03,9.024E-01
9.699264E-01,-8.000E-03,9.408E-01
9.699288E-01,-9.200E-03,9.024E-01
9.699288E-01,-8.000E-03,9.408E-01
9.699312E-01,-8.800E-03,9.024E-01
9.699312E-01,-8.400E-03,9.792E-01
9.699336E-01,-8.800E-03,9.024E-01
9.699336E-01,-8.000E-03,9.792E-01
9.699360E-01,-9.200E-03,9.024E-01
9.699360E-01,-8.400E-03,9.408E-01
9.699384E-01,-9.200E-03,8.640E-01
9.699384E-01,-8.000E-03,9.792E-01
9.699408E-01,-9.200E-03,9.024E-01
9.699408E-01,-8.000E-03,9.792E-01
9.699432E-01,-9.200E-03,9.024E-01
9.699432E-01,-8.000E-03,9.792E-01
9.699456E-01,-8.800E-03,9.024E-01
9.699456E-01,-8.400E-03,9.792E-01
9.699480E-01,-9.200E-03,9.024E-01
9.699480E-01,-8.000E-03,9.408E-01
9.699504E-01,-9.200E-03,9.024E-01
