[s],CH1[V]
8.32400E-01,-8.000E-04
8.32440E-01,-1.600E-03
8.32480E-01,-1.600E-03
8.32520E-01,-8.000E-04
8.32560E-01,-1.310E-18
8.32600E-01,-8.000E-04
8.32640E-01,-1.600E-03
8.32680E-01,-8.000E-04
8.32720E-01,-8.000E-04
8.32760E-01,-1.600E-03
8.32800E-01,-8.000E-04
8.32840E-01,-8.000E-04
8.32880E-01,-8.000E-04
8.32920E-01,-1.600E-03
8.32960E-01,-1.600E-03
8.33000E-01,-8.000E-04
8.33040E-01,-1.310E-18
8.33080E-01,-1.600E-03
8.33120E-01,-8.000E-04
8.33160E-01,-2.400E-03
8.33200E-01,-8.000E-04
8.33240E-01,-1.310E-18
8.33280E-01,-8.000E-04
8.33320E-01,-8.000E-04
8.33361E-01,-1.600E-03
8.33401E-01,8.000E-04
8.33441E-01,-1.600E-03
8.33481E-01,-8.000E-04
8.33521E-01,-8.000E-04
8.33561E-01,-2.400E-03
8.33601E-01,-1.310E-18
8.33641E-01,-8.000E-04
8.33681E-01,-8.000E-04
8.33721E-01,-1.310E-18
8.33761E-01,-8.000E-04
8.33801E-01,-1.600E-03
8.33841E-01,-8.000E-04
8.33881E-01,-8.000E-04
8.33921E-01,-8.000E-04
8.33961E-01,-1.600E-03
8.34001E-01,-8.000E-04
8.34041E-01,-1.310E-18
8.34081E-01,-1.310E-18
8.34121E-01,-8.000E-04
8.34161E-01,-8.000E-04
8.34201E-01,-1.310E-18
8.34241E-01,-8.000E-04
8.34281E-01,-1.600E-03
8.34321E-01,-8.000E-04
8.34361E-01,-2.400E-03
8.34401E-01,-1.310E-18
8.34441E-01,-1.600E-03
8.34481E-01,-1.310E-18
8.34521E-01,-8.000E-04
8.34561E-01,-8.000E-04
8.34601E-01,-8.000E-04
8.34641E-01,8.000E-04
8.34681E-01,-8.000E-04
8.34721E-01,-1.600E-03
8.34761E-01,-1.600E-03
8.34801E-01,-8.000E-04
8.34841E-01,-1.600E-03
8.34881E-01,-1.600E-03
8.34921E-01,-1.600E-03
8.34961E-01,-8.000E-04
8.35001E-01,-1.600E-03
8.35041E-01,-2.400E-03
8.35081E-01,-1.310E-18
8.35121E-01,-1.600E-03
8.35161E-01,-1.600E-03
8.35201E-01,-8.000E-04
8.35241E-01,-1.600E-03
8.35281E-01,-8.000E-04
8.35321E-01,-1.600E-03
8.35362E-01,-1.600E-03
8.35402E-01,-1.600E-03
8.35442E-01,-1.600E-03
8.35482E-01,-8.000E-04
8.35522E-01,-1.310E-18
8.35562E-01,-1.600E-03
8.35602E-01,-2.400E-03
8.35642E-01,-1.600E-03
8.35682E-01,-8.000E-04
8.35722E-01,-1.600E-03
8.35762E-01,-1.600E-03
8.35802E-01,-8.000E-04
8.35842E-01,-1.600E-03
8.35882E-01,-1.600E-03
8.35922E-01,-2.400E-03
8.35962E-01,-3.200E-03
8.36002E-01,-1.600E-03
8.36042E-01,-1.310E-18
8.36082E-01,-1.600E-03
8.36122E-01,-8.000E-04
8.36162E-01,-2.400E-03
8.36202E-01,-8.000E-04
8.36242E-01,-8.000E-04
8.36282E-01,-1.600E-03
8.36322E-01,-1.310E-18
8.36362E-01,-8.000E-04
8.36402E-01,-1.600E-03
8.36442E-01,-1.600E-03
8.36482E-01,-1.600E-03
8.36522E-01,-2.400E-03
8.36562E-01,-2.400E-03
8.36602E-01,-8.000E-04
8.36642E-01,-8.000E-04
8.36682E-01,-1.310E-18
8.36722E-01,-2.400E-03
8.36762E-01,-1.600E-03
8.36802E-01,-8.000E-04
8.36842E-01,-2.400E-03
8.36882E-01,-8.000E-04
8.36922E-01,-1.600E-03
8.36962E-01,-8.000E-04
8.37002E-01,-1.600E-03
8.37042E-01,-1.600E-03
8.37082E-01,-8.000E-04
8.37122E-01,-2.400E-03
