,0,1
0,987.0,993.0
1,972.0,979.0
2,955.0,961.0
3,952.0,960.0
4,950.0,956.0
5,946.0,954.0
6,942.5,949.0
7,955.9,967.0
8,972.0,978.0
9,978.0,986.0
10,1008.0,1014.0
11,1005.0,1011.0
