[s],CH1[V]
6.37164E-01,-1.200E-03
6.37204E-01,-1.200E-03
6.37244E-01,-4.000E-04
6.37284E-01,-8.000E-04
6.37324E-01,-8.000E-04
6.37364E-01,-1.200E-03
6.37404E-01,-4.000E-04
6.37444E-01,-1.200E-03
6.37484E-01,-1.200E-03
6.37524E-01,-1.200E-03
6.37564E-01,-4.000E-04
6.37604E-01,-1.200E-03
6.37644E-01,-4.000E-04
6.37684E-01,-8.000E-04
6.37724E-01,-1.600E-03
6.37764E-01,-1.200E-03
6.37804E-01,-1.200E-03
6.37844E-01,-1.200E-03
6.37884E-01,-1.600E-03
6.37924E-01,-1.200E-03
6.37964E-01,-8.000E-04
6.38004E-01,-1.200E-03
6.38044E-01,-8.000E-04
6.38084E-01,-8.000E-04
6.38124E-01,-4.000E-04
6.38164E-01,-8.000E-04
6.38205E-01,-8.000E-04
6.38245E-01,-1.600E-03
6.38285E-01,-8.000E-04
6.38325E-01,3.300E-19
6.38365E-01,-1.200E-03
6.38405E-01,-8.000E-04
6.38445E-01,-8.000E-04
6.38485E-01,-8.000E-04
6.38525E-01,-4.000E-04
6.38565E-01,-1.200E-03
6.38605E-01,-8.000E-04
6.38645E-01,-1.200E-03
6.38685E-01,-8.000E-04
6.38725E-01,-8.000E-04
6.38765E-01,-8.000E-04
6.38805E-01,-1.200E-03
6.38845E-01,-1.200E-03
6.38885E-01,-8.000E-04
6.38925E-01,-8.000E-04
6.38965E-01,-1.200E-03
6.39005E-01,-8.000E-04
6.39045E-01,-8.000E-04
6.39085E-01,-8.000E-04
6.39125E-01,-8.000E-04
6.39165E-01,-8.000E-04
6.39205E-01,-8.000E-04
6.39245E-01,3.300E-19
6.39285E-01,-8.000E-04
6.39325E-01,-1.200E-03
6.39365E-01,-1.200E-03
6.39405E-01,-1.200E-03
6.39445E-01,-8.000E-04
6.39485E-01,-1.200E-03
6.39525E-01,-8.000E-04
6.39565E-01,-8.000E-04
6.39605E-01,-8.000E-04
6.39645E-01,-8.000E-04
6.39685E-01,-4.000E-04
6.39725E-01,-8.000E-04
6.39765E-01,-8.000E-04
6.39805E-01,-8.000E-04
6.39845E-01,-8.000E-04
6.39885E-01,-1.200E-03
6.39925E-01,3.300E-19
6.39965E-01,-8.000E-04
6.40005E-01,-8.000E-04
6.40045E-01,-8.000E-04
6.40085E-01,-4.000E-04
6.40125E-01,-1.200E-03
6.40165E-01,-8.000E-04
6.40206E-01,-1.200E-03
6.40246E-01,-1.200E-03
6.40286E-01,-1.200E-03
6.40326E-01,-4.000E-04
6.40366E-01,-8.000E-04
6.40406E-01,-4.000E-04
6.40446E-01,-8.000E-04
6.40486E-01,-4.000E-04
6.40526E-01,-1.600E-03
6.40566E-01,-1.600E-03
6.40606E-01,-1.200E-03
6.40646E-01,-1.200E-03
6.40686E-01,-8.000E-04
6.40726E-01,-1.200E-03
6.40766E-01,-4.000E-04
6.40806E-01,-1.200E-03
6.40846E-01,-1.600E-03
6.40886E-01,-1.600E-03
6.40926E-01,-1.200E-03
6.40966E-01,-8.000E-04
6.41006E-01,-1.200E-03
6.41046E-01,-1.200E-03
6.41086E-01,-1.200E-03
6.41126E-01,-1.200E-03
6.41166E-01,-8.000E-04
6.41206E-01,-1.200E-03
6.41246E-01,-1.200E-03
6.41286E-01,-1.600E-03
6.41326E-01,-1.200E-03
6.41366E-01,-8.000E-04
6.41406E-01,-1.200E-03
6.41446E-01,-1.600E-03
6.41486E-01,-1.600E-03
6.41526E-01,-1.600E-03
6.41566E-01,-1.600E-03
6.41606E-01,-1.600E-03
6.41646E-01,-1.200E-03
6.41686E-01,-1.200E-03
6.41726E-01,-1.200E-03
6.41766E-01,-2.000E-03
6.41806E-01,-1.600E-03
6.41846E-01,-1.200E-03
6.41886E-01,-1.600E-03
6.41926E-01,-1.200E-03
6.41966E-01,-1.200E-03
6.42006E-01,-1.200E-03
6.42046E-01,-1.600E-03
6.42086E-01,-1.600E-03
6.42126E-01,-1.200E-03
6.42166E-01,-4.000E-04
6.42207E-01,-2.000E-03
6.42247E-01,-2.000E-03
6.42287E-01,-1.200E-03
6.42327E-01,-2.000E-03
6.42367E-01,-1.600E-03
6.42407E-01,-1.200E-03
6.42447E-01,-1.600E-03
6.42487E-01,-1.600E-03
6.42527E-01,-1.600E-03
6.42567E-01,-1.600E-03
6.42607E-01,-1.200E-03
6.42647E-01,-1.600E-03
6.42687E-01,-1.600E-03
6.42727E-01,-1.200E-03
6.42767E-01,-1.600E-03
6.42807E-01,-1.200E-03
6.42847E-01,-1.600E-03
6.42887E-01,-1.200E-03
6.42927E-01,-2.000E-03
6.42967E-01,-1.200E-03
6.43007E-01,-1.200E-03
6.43047E-01,-2.000E-03
6.43087E-01,-1.200E-03
6.43127E-01,-1.600E-03
6.43167E-01,-1.600E-03
6.43207E-01,-1.200E-03
6.43247E-01,-1.200E-03
6.43287E-01,-2.000E-03
6.43327E-01,-1.600E-03
6.43367E-01,-1.200E-03
6.43407E-01,-1.600E-03
6.43447E-01,-1.200E-03
6.43487E-01,-1.600E-03
6.43527E-01,-1.600E-03
6.43567E-01,-1.600E-03
6.43607E-01,-1.200E-03
6.43647E-01,-1.200E-03
6.43687E-01,-2.000E-03
6.43727E-01,-2.000E-03
6.43767E-01,-2.000E-03
6.43807E-01,-1.600E-03
6.43847E-01,-2.000E-03
6.43887E-01,-2.000E-03
6.43927E-01,-1.600E-03
6.43967E-01,-2.000E-03
6.44007E-01,-2.000E-03
6.44047E-01,-1.600E-03
6.44087E-01,-1.200E-03
6.44127E-01,-1.200E-03
6.44167E-01,-1.200E-03
6.44208E-01,-1.600E-03
6.44248E-01,-1.200E-03
6.44288E-01,-2.000E-03
6.44328E-01,-1.600E-03
6.44368E-01,-1.600E-03
6.44408E-01,-1.600E-03
6.44448E-01,-1.600E-03
6.44488E-01,-1.200E-03
6.44528E-01,-1.600E-03
6.44568E-01,-1.600E-03
6.44608E-01,-1.600E-03
6.44648E-01,-2.000E-03
6.44688E-01,-2.000E-03
6.44728E-01,-1.600E-03
6.44768E-01,-1.600E-03
6.44808E-01,-1.200E-03
6.44848E-01,-2.000E-03
6.44888E-01,-2.000E-03
6.44928E-01,-2.000E-03
6.44968E-01,-1.600E-03
6.45008E-01,-2.000E-03
6.45048E-01,-2.000E-03
6.45088E-01,-1.600E-03
6.45128E-01,-2.400E-03
6.45168E-01,-2.000E-03
6.45208E-01,-1.200E-03
6.45248E-01,-1.200E-03
6.45288E-01,-1.200E-03
6.45328E-01,-8.000E-04
6.45368E-01,-1.600E-03
6.45408E-01,-1.600E-03
6.45448E-01,-1.600E-03
6.45488E-01,-1.600E-03
6.45528E-01,-1.600E-03
6.45568E-01,-1.200E-03
6.45608E-01,-1.600E-03
6.45648E-01,-8.000E-04
6.45688E-01,-1.200E-03
6.45728E-01,-1.200E-03
6.45768E-01,-1.200E-03
6.45808E-01,-1.600E-03
6.45848E-01,-8.000E-04
6.45888E-01,-8.000E-04
6.45928E-01,-1.200E-03
6.45968E-01,-1.600E-03
6.46008E-01,-1.200E-03
6.46048E-01,-8.000E-04
6.46088E-01,-1.600E-03
6.46128E-01,-8.000E-04
6.46168E-01,-1.200E-03
6.46209E-01,-1.200E-03
6.46249E-01,-1.600E-03
6.46289E-01,-1.200E-03
6.46329E-01,-1.200E-03
6.46369E-01,-1.200E-03
6.46409E-01,-8.000E-04
6.46449E-01,-1.600E-03
6.46489E-01,-1.600E-03
6.46529E-01,-1.200E-03
6.46569E-01,-2.000E-03
6.46609E-01,-1.600E-03
6.46649E-01,-1.200E-03
6.46689E-01,-1.200E-03
6.46729E-01,-1.200E-03
6.46769E-01,-8.000E-04
6.46809E-01,-2.000E-03
6.46849E-01,-1.600E-03
6.46889E-01,-1.600E-03
6.46929E-01,-8.000E-04
6.46969E-01,-8.000E-04
6.47009E-01,-1.200E-03
6.47049E-01,-2.000E-03
6.47089E-01,-1.200E-03
6.47129E-01,-2.000E-03
6.47169E-01,-8.000E-04
6.47209E-01,-1.600E-03
6.47249E-01,-1.200E-03
6.47289E-01,-1.600E-03
6.47329E-01,-1.600E-03
6.47369E-01,-1.200E-03
6.47409E-01,-1.200E-03
6.47449E-01,-1.200E-03
6.47489E-01,-2.000E-03
6.47529E-01,-1.600E-03
6.47569E-01,-1.600E-03
