[s],CH1[V],CH2[V]
9.513257E-01,-2.000E-03,4.032E-01
9.513257E-01,-4.000E-04,4.800E-01
9.513281E-01,-2.400E-03,4.032E-01
9.513281E-01,-8.000E-04,4.416E-01
9.513305E-01,-2.400E-03,4.032E-01
9.513305E-01,-1.200E-03,4.800E-01
9.513329E-01,-2.800E-03,4.032E-01
9.513329E-01,-1.200E-03,4.800E-01
9.513353E-01,-2.000E-03,4.032E-01
9.513353E-01,-1.200E-03,4.800E-01
9.513377E-01,-2.000E-03,4.032E-01
9.513377E-01,-8.000E-04,4.800E-01
9.513401E-01,-2.000E-03,4.032E-01
9.513401E-01,-1.200E-03,4.800E-01
9.513425E-01,-2.400E-03,4.032E-01
9.513425E-01,-8.000E-04,4.416E-01
9.513449E-01,-2.000E-03,4.032E-01
9.513449E-01,-1.200E-03,4.416E-01
9.513473E-01,-2.000E-03,4.032E-01
9.513473E-01,-8.000E-04,4.416E-01
9.513497E-01,-2.400E-03,4.032E-01
9.513497E-01,-8.000E-04,4.416E-01
9.513521E-01,-2.400E-03,4.032E-01
9.513521E-01,-8.000E-04,4.800E-01
9.513545E-01,-1.600E-03,4.032E-01
9.513545E-01,-8.000E-04,4.416E-01
9.513569E-01,-2.400E-03,4.032E-01
9.513569E-01,-1.200E-03,4.800E-01
9.513593E-01,-2.400E-03,4.032E-01
9.513593E-01,-1.200E-03,4.416E-01
9.513617E-01,-2.000E-03,4.032E-01
9.513617E-01,-8.000E-04,4.800E-01
9.513641E-01,-2.000E-03,4.032E-01
9.513641E-01,-1.200E-03,4.416E-01
9.513665E-01,-2.000E-03,4.032E-01
9.513665E-01,-1.200E-03,4.416E-01
9.513689E-01,-2.000E-03,4.032E-01
9.513689E-01,-1.200E-03,4.416E-01
9.513713E-01,-2.000E-03,4.032E-01
9.513713E-01,-1.200E-03,4.800E-01
9.513737E-01,-2.000E-03,4.032E-01
9.513737E-01,-1.200E-03,4.416E-01
9.513761E-01,-2.000E-03,4.032E-01
9.513761E-01,-8.000E-04,4.800E-01
9.513785E-01,-2.000E-03,4.032E-01
9.513785E-01,-8.000E-04,4.416E-01
9.513809E-01,-2.400E-03,4.032E-01
9.513809E-01,-1.200E-03,4.416E-01
9.513833E-01,-1.600E-03,4.032E-01
9.513833E-01,-8.000E-04,4.416E-01
9.513857E-01,-2.000E-03,4.032E-01
9.513857E-01,-4.000E-04,4.800E-01
9.513881E-01,-2.000E-03,3.648E-01
9.513881E-01,-4.000E-04,4.800E-01
9.513905E-01,-1.600E-03,4.032E-01
9.513905E-01,-1.200E-03,4.800E-01
9.513929E-01,-2.000E-03,4.032E-01
