[s],CH1[V],CH2[V]
4.0731E-01,4.000E-04,7.400E-01
4.0741E-01,-4.000E-04,7.400E-01
4.0751E-01,-4.000E-04,7.400E-01
4.0761E-01,4.000E-04,7.200E-01
4.0771E-01,4.000E-04,6.800E-01
4.0781E-01,-4.000E-04,7.200E-01
4.0791E-01,4.000E-04,7.600E-01
4.0801E-01,1.200E-03,7.200E-01
4.0811E-01,4.000E-04,7.000E-01
4.0821E-01,-4.000E-04,7.000E-01
4.0831E-01,-4.000E-04,7.200E-01
4.0841E-01,4.000E-04,7.200E-01
4.0851E-01,1.200E-03,7.200E-01
4.0861E-01,4.000E-04,7.200E-01
4.0871E-01,4.000E-04,7.200E-01
4.0881E-01,4.000E-04,7.000E-01
4.0891E-01,4.000E-04,6.800E-01
4.0901E-01,4.000E-04,7.400E-01
4.0911E-01,4.000E-04,7.000E-01
4.0921E-01,4.000E-04,7.200E-01
4.0931E-01,4.000E-04,7.000E-01
4.0941E-01,1.200E-03,7.200E-01
4.0951E-01,1.200E-03,7.000E-01
4.0961E-01,4.000E-04,7.200E-01
4.0971E-01,-4.000E-04,7.200E-01
4.0981E-01,1.200E-03,7.000E-01
4.0991E-01,4.000E-04,6.800E-01
4.1001E-01,2.000E-03,7.200E-01
4.1011E-01,4.000E-04,7.400E-01
4.1021E-01,1.200E-03,7.000E-01
4.1031E-01,4.000E-04,7.200E-01
4.1041E-01,2.000E-03,6.800E-01
4.1051E-01,1.200E-03,7.000E-01
4.1061E-01,4.000E-04,7.000E-01
4.1071E-01,2.000E-03,7.000E-01
4.1081E-01,2.000E-03,7.200E-01
4.1091E-01,4.000E-04,6.800E-01
4.1101E-01,-4.000E-04,7.200E-01
4.1111E-01,4.000E-04,7.000E-01
4.1121E-01,4.000E-04,7.200E-01
4.1131E-01,4.000E-04,7.200E-01
4.1141E-01,4.000E-04,7.200E-01
4.1151E-01,2.000E-03,7.400E-01
4.1161E-01,4.000E-04,7.200E-01
4.1171E-01,4.000E-04,7.200E-01
4.1181E-01,4.000E-04,7.000E-01
4.1191E-01,4.000E-04,7.200E-01
4.1201E-01,2.000E-03,7.200E-01
4.1211E-01,1.200E-03,7.000E-01
4.1221E-01,4.000E-04,6.800E-01
4.1231E-01,1.200E-03,7.000E-01
4.1241E-01,2.000E-03,7.000E-01
4.1251E-01,2.000E-03,7.000E-01
4.1261E-01,1.200E-03,6.800E-01
4.1271E-01,2.000E-03,7.000E-01
4.1281E-01,2.000E-03,7.200E-01
4.1291E-01,4.000E-04,7.200E-01
4.1301E-01,4.000E-04,7.000E-01
4.1311E-01,1.200E-03,7.000E-01
4.1321E-01,2.000E-03,7.000E-01
4.1331E-01,-4.000E-04,6.800E-01
4.1341E-01,2.000E-03,7.400E-01
4.1351E-01,4.000E-04,6.800E-01
4.1361E-01,-4.000E-04,6.600E-01
4.1371E-01,4.000E-04,7.000E-01
4.1381E-01,4.000E-04,7.000E-01
4.1391E-01,4.000E-04,7.000E-01
4.1401E-01,-4.000E-04,7.000E-01
4.1411E-01,1.200E-03,7.200E-01
4.1421E-01,2.000E-03,7.000E-01
4.1431E-01,4.000E-04,7.000E-01
4.1441E-01,1.200E-03,6.800E-01
4.1451E-01,-4.000E-04,6.800E-01
4.1461E-01,1.200E-03,7.000E-01
4.1471E-01,1.200E-03,7.000E-01
4.1481E-01,4.000E-04,6.800E-01
4.1491E-01,4.000E-04,7.000E-01
4.1501E-01,4.000E-04,6.600E-01
4.1511E-01,4.000E-04,7.200E-01
4.1521E-01,4.000E-04,7.000E-01
4.1531E-01,1.200E-03,7.200E-01
4.1541E-01,4.000E-04,7.000E-01
4.1551E-01,4.000E-04,6.800E-01
4.1561E-01,1.200E-03,6.800E-01
4.1571E-01,1.200E-03,6.800E-01
4.1581E-01,1.200E-03,7.000E-01
4.1591E-01,-4.000E-04,6.800E-01
4.1601E-01,1.200E-03,7.000E-01
4.1611E-01,1.200E-03,7.000E-01
4.1621E-01,2.000E-03,7.000E-01
4.1631E-01,4.000E-04,7.000E-01
4.1641E-01,4.000E-04,7.000E-01
4.1651E-01,1.200E-03,6.600E-01
4.1661E-01,4.000E-04,6.600E-01
4.1671E-01,-4.000E-04,7.200E-01
4.1681E-01,4.000E-04,7.000E-01
4.1691E-01,2.000E-03,6.800E-01
4.1701E-01,4.000E-04,6.600E-01
4.1711E-01,-4.000E-04,6.800E-01
4.1721E-01,1.200E-03,6.800E-01
4.1731E-01,1.200E-03,6.800E-01
4.1741E-01,1.200E-03,7.000E-01
4.1751E-01,4.000E-04,7.000E-01
4.1761E-01,1.200E-03,6.600E-01
4.1771E-01,-4.000E-04,6.800E-01
4.1781E-01,1.200E-03,6.600E-01
4.1791E-01,4.000E-04,7.000E-01
4.1801E-01,1.200E-03,6.800E-01
4.1811E-01,1.200E-03,6.800E-01
4.1821E-01,4.000E-04,6.800E-01
4.1831E-01,4.000E-04,6.600E-01
4.1841E-01,4.000E-04,6.800E-01
4.1851E-01,1.200E-03,6.800E-01
4.1861E-01,1.200E-03,6.600E-01
4.1871E-01,4.000E-04,7.000E-01
4.1881E-01,4.000E-04,6.600E-01
4.1891E-01,1.200E-03,7.000E-01
4.1901E-01,2.000E-03,6.600E-01
4.1911E-01,1.200E-03,6.600E-01
4.1921E-01,1.200E-03,6.600E-01
4.1931E-01,4.000E-04,6.600E-01
4.1941E-01,1.200E-03,6.600E-01
4.1951E-01,1.200E-03,6.600E-01
4.1961E-01,1.200E-03,6.600E-01
4.1971E-01,-4.000E-04,6.800E-01
4.1981E-01,4.000E-04,6.600E-01
4.1991E-01,4.000E-04,6.600E-01
4.2001E-01,-4.000E-04,6.400E-01
4.2011E-01,1.200E-03,7.000E-01
4.2021E-01,4.000E-04,6.800E-01
4.2031E-01,1.200E-03,6.600E-01
4.2041E-01,1.200E-03,6.800E-01
4.2051E-01,1.200E-03,6.800E-01
4.2061E-01,4.000E-04,6.600E-01
4.2071E-01,1.200E-03,6.400E-01
4.2081E-01,4.000E-04,6.800E-01
4.2091E-01,2.000E-03,6.600E-01
4.2101E-01,4.000E-04,6.600E-01
4.2111E-01,1.200E-03,7.000E-01
4.2121E-01,4.000E-04,6.600E-01
4.2131E-01,1.200E-03,6.800E-01
4.2141E-01,-4.000E-04,6.600E-01
4.2151E-01,1.200E-03,6.200E-01
4.2161E-01,1.200E-03,6.400E-01
4.2171E-01,1.200E-03,6.800E-01
4.2181E-01,4.000E-04,6.800E-01
4.2191E-01,2.000E-03,6.600E-01
4.2201E-01,-4.000E-04,6.600E-01
4.2211E-01,4.000E-04,6.200E-01
4.2221E-01,4.000E-04,6.800E-01
4.2231E-01,4.000E-04,6.600E-01
4.2241E-01,2.000E-03,6.600E-01
4.2251E-01,4.000E-04,6.800E-01
4.2261E-01,4.000E-04,6.600E-01
4.2271E-01,1.200E-03,6.400E-01
4.2281E-01,4.000E-04,6.400E-01
4.2291E-01,2.000E-03,6.400E-01
4.2302E-01,4.000E-04,6.600E-01
4.2312E-01,1.200E-03,6.800E-01
4.2322E-01,1.200E-03,6.400E-01
4.2332E-01,1.200E-03,6.600E-01
4.2342E-01,1.200E-03,6.400E-01
4.2352E-01,4.000E-04,6.400E-01
4.2362E-01,2.000E-03,6.800E-01
4.2372E-01,4.000E-04,6.200E-01
4.2382E-01,1.200E-03,7.000E-01
4.2392E-01,4.000E-04,6.600E-01
4.2402E-01,4.000E-04,6.200E-01
4.2412E-01,4.000E-04,6.600E-01
4.2422E-01,1.200E-03,6.600E-01
4.2432E-01,1.200E-03,6.400E-01
4.2442E-01,1.200E-03,6.600E-01
4.2452E-01,4.000E-04,6.800E-01
4.2462E-01,4.000E-04,6.400E-01
4.2472E-01,4.000E-04,6.400E-01
4.2482E-01,1.200E-03,6.600E-01
4.2492E-01,4.000E-04,6.400E-01
4.2502E-01,4.000E-04,6.400E-01
4.2512E-01,4.000E-04,6.400E-01
4.2522E-01,4.000E-04,6.200E-01
4.2532E-01,1.200E-03,6.400E-01
4.2542E-01,1.200E-03,6.400E-01
4.2552E-01,4.000E-04,6.400E-01
4.2562E-01,1.200E-03,6.400E-01
4.2572E-01,1.200E-03,6.400E-01
4.2582E-01,2.000E-03,6.200E-01
4.2592E-01,-4.000E-04,6.400E-01
4.2602E-01,-4.000E-04,6.800E-01
4.2612E-01,4.000E-04,6.400E-01
4.2622E-01,-4.000E-04,6.400E-01
4.2632E-01,4.000E-04,6.400E-01
4.2642E-01,4.000E-04,6.400E-01
4.2652E-01,1.200E-03,6.200E-01
4.2662E-01,1.200E-03,6.200E-01
4.2672E-01,1.200E-03,6.600E-01
4.2682E-01,-4.000E-04,6.400E-01
4.2692E-01,1.200E-03,6.600E-01
4.2702E-01,4.000E-04,6.400E-01
4.2712E-01,1.200E-03,6.200E-01
4.2722E-01,1.200E-03,6.400E-01
4.2732E-01,1.200E-03,6.600E-01
4.2742E-01,4.000E-04,6.600E-01
4.2752E-01,4.000E-04,6.200E-01
4.2762E-01,1.200E-03,6.200E-01
4.2772E-01,4.000E-04,6.600E-01
4.2782E-01,1.200E-03,6.200E-01
4.2792E-01,4.000E-04,6.200E-01
4.2802E-01,1.200E-03,6.200E-01
4.2812E-01,4.000E-04,6.600E-01
4.2822E-01,1.200E-03,6.400E-01
4.2832E-01,-4.000E-04,6.200E-01
4.2842E-01,4.000E-04,6.200E-01
4.2852E-01,4.000E-04,6.400E-01
4.2862E-01,1.200E-03,6.600E-01
4.2872E-01,2.000E-03,6.400E-01
4.2882E-01,1.200E-03,6.600E-01
4.2892E-01,4.000E-04,6.000E-01
4.2902E-01,1.200E-03,6.400E-01
4.2912E-01,2.000E-03,6.600E-01
4.2922E-01,1.200E-03,6.400E-01
4.2932E-01,2.000E-03,6.400E-01
4.2942E-01,4.000E-04,6.000E-01
4.2952E-01,4.000E-04,6.200E-01
4.2962E-01,1.200E-03,6.400E-01
4.2972E-01,1.200E-03,6.200E-01
4.2982E-01,1.200E-03,6.600E-01
4.2992E-01,1.200E-03,6.400E-01
4.3002E-01,4.000E-04,6.000E-01
4.3012E-01,4.000E-04,6.000E-01
4.3022E-01,1.200E-03,6.200E-01
4.3032E-01,1.200E-03,6.200E-01
