[s],CH1[V],CH2[V]
2.13829E-01,2.000E-03,9.400E-01
2.13869E-01,1.600E-03,9.600E-01
2.13909E-01,1.600E-03,9.600E-01
2.13949E-01,1.200E-03,9.400E-01
2.13989E-01,1.600E-03,9.600E-01
2.14029E-01,2.400E-03,9.800E-01
2.14069E-01,1.600E-03,9.600E-01
2.14109E-01,1.600E-03,9.400E-01
2.14149E-01,1.200E-03,9.800E-01
2.14189E-01,2.000E-03,9.800E-01
2.14229E-01,2.000E-03,9.400E-01
2.14269E-01,1.600E-03,9.400E-01
2.14309E-01,2.000E-03,9.400E-01
2.14349E-01,1.600E-03,9.800E-01
2.14389E-01,2.000E-03,9.600E-01
2.14429E-01,2.000E-03,9.800E-01
2.14469E-01,2.000E-03,9.600E-01
2.14509E-01,2.400E-03,9.600E-01
2.14549E-01,1.600E-03,9.800E-01
2.14589E-01,2.400E-03,9.200E-01
2.14629E-01,2.400E-03,9.400E-01
2.14669E-01,1.600E-03,9.800E-01
2.14709E-01,2.000E-03,9.800E-01
2.14749E-01,2.000E-03,9.800E-01
2.14789E-01,2.000E-03,9.600E-01
2.14829E-01,2.000E-03,9.600E-01
2.14869E-01,2.000E-03,9.800E-01
2.14909E-01,2.000E-03,1.000E+00
2.14949E-01,2.400E-03,9.400E-01
2.14989E-01,2.800E-03,9.400E-01
2.15029E-01,2.400E-03,9.800E-01
2.15069E-01,2.000E-03,1.000E+00
2.15109E-01,2.400E-03,9.800E-01
2.15149E-01,2.400E-03,9.400E-01
2.15189E-01,2.800E-03,9.600E-01
2.15229E-01,1.600E-03,9.600E-01
2.15269E-01,1.600E-03,9.600E-01
2.15309E-01,2.000E-03,9.800E-01
2.15349E-01,2.000E-03,9.600E-01
2.15389E-01,2.000E-03,9.600E-01
2.15430E-01,1.600E-03,9.600E-01
2.15470E-01,2.400E-03,9.800E-01
2.15510E-01,2.400E-03,9.400E-01
2.15550E-01,2.000E-03,9.600E-01
2.15590E-01,2.400E-03,9.600E-01
2.15630E-01,2.400E-03,9.400E-01
2.15670E-01,2.000E-03,9.800E-01
2.15710E-01,2.000E-03,9.600E-01
2.15750E-01,2.400E-03,9.600E-01
2.15790E-01,2.000E-03,9.400E-01
2.15830E-01,2.400E-03,9.600E-01
2.15870E-01,2.400E-03,9.600E-01
2.15910E-01,2.000E-03,9.400E-01
2.15950E-01,2.000E-03,9.400E-01
2.15990E-01,2.400E-03,9.600E-01
2.16030E-01,2.000E-03,9.800E-01
2.16070E-01,2.400E-03,9.600E-01
2.16110E-01,2.000E-03,1.000E+00
2.16150E-01,2.000E-03,9.800E-01
2.16190E-01,2.000E-03,9.400E-01
2.16230E-01,2.400E-03,9.600E-01
2.16270E-01,2.400E-03,9.400E-01
2.16310E-01,2.800E-03,9.800E-01
2.16350E-01,2.400E-03,9.600E-01
2.16390E-01,2.800E-03,9.400E-01
2.16430E-01,2.000E-03,9.400E-01
2.16470E-01,2.400E-03,9.400E-01
2.16510E-01,2.800E-03,9.600E-01
2.16550E-01,2.400E-03,9.600E-01
2.16590E-01,2.400E-03,9.800E-01
2.16630E-01,2.400E-03,9.400E-01
2.16670E-01,2.400E-03,9.600E-01
2.16710E-01,2.400E-03,9.800E-01
2.16750E-01,2.400E-03,9.200E-01
2.16790E-01,2.000E-03,9.400E-01
2.16830E-01,2.400E-03,9.800E-01
2.16870E-01,2.800E-03,9.600E-01
2.16910E-01,2.400E-03,9.800E-01
2.16950E-01,3.200E-03,9.600E-01
2.16990E-01,2.800E-03,9.400E-01
2.17030E-01,2.400E-03,1.000E+00
2.17070E-01,2.000E-03,9.600E-01
2.17110E-01,2.000E-03,9.800E-01
2.17150E-01,2.400E-03,9.600E-01
2.17190E-01,2.800E-03,9.600E-01
2.17230E-01,2.400E-03,9.400E-01
2.17270E-01,2.400E-03,9.600E-01
2.17310E-01,2.800E-03,9.400E-01
2.17350E-01,2.400E-03,9.400E-01
2.17390E-01,2.000E-03,9.600E-01
2.17431E-01,2.000E-03,9.600E-01
2.17471E-01,1.600E-03,9.400E-01
2.17511E-01,2.800E-03,9.400E-01
2.17551E-01,2.400E-03,9.800E-01
2.17591E-01,2.800E-03,9.600E-01
2.17631E-01,1.600E-03,9.200E-01
2.17671E-01,2.000E-03,9.600E-01
2.17711E-01,2.400E-03,9.400E-01
2.17751E-01,2.000E-03,9.800E-01
2.17791E-01,2.400E-03,9.600E-01
2.17831E-01,2.400E-03,9.400E-01
2.17871E-01,2.800E-03,9.600E-01
2.17911E-01,3.200E-03,9.400E-01
2.17951E-01,2.800E-03,9.600E-01
2.17991E-01,2.400E-03,9.800E-01
2.18031E-01,2.000E-03,9.600E-01
2.18071E-01,2.000E-03,9.400E-01
2.18111E-01,2.400E-03,9.400E-01
2.18151E-01,2.400E-03,9.600E-01
2.18191E-01,2.000E-03,9.400E-01
2.18231E-01,2.400E-03,9.800E-01
2.18271E-01,2.800E-03,9.400E-01
2.18311E-01,2.000E-03,9.600E-01
2.18351E-01,2.000E-03,9.400E-01
2.18391E-01,2.800E-03,9.600E-01
2.18431E-01,2.000E-03,9.600E-01
2.18471E-01,2.000E-03,9.400E-01
2.18511E-01,2.000E-03,9.600E-01
2.18551E-01,2.000E-03,9.400E-01
2.18591E-01,2.000E-03,9.200E-01
2.18631E-01,2.000E-03,9.200E-01
2.18671E-01,2.000E-03,9.400E-01
2.18711E-01,2.000E-03,9.400E-01
2.18751E-01,2.400E-03,9.200E-01
2.18791E-01,2.000E-03,9.400E-01
2.18831E-01,2.400E-03,9.200E-01
2.18871E-01,2.800E-03,9.600E-01
2.18911E-01,2.400E-03,9.200E-01
2.18951E-01,2.400E-03,9.600E-01
2.18991E-01,2.000E-03,9.400E-01
2.19031E-01,2.400E-03,9.400E-01
2.19071E-01,2.400E-03,9.200E-01
2.19111E-01,2.400E-03,9.200E-01
2.19151E-01,2.400E-03,9.200E-01
2.19191E-01,2.000E-03,9.600E-01
2.19231E-01,2.400E-03,9.200E-01
2.19271E-01,2.800E-03,9.400E-01
2.19311E-01,2.400E-03,9.600E-01
2.19351E-01,2.400E-03,9.400E-01
2.19391E-01,2.000E-03,9.400E-01
2.19432E-01,1.600E-03,9.400E-01
2.19472E-01,2.000E-03,9.400E-01
2.19512E-01,2.400E-03,9.400E-01
2.19552E-01,2.000E-03,9.600E-01
2.19592E-01,1.200E-03,9.200E-01
2.19632E-01,2.000E-03,9.200E-01
2.19672E-01,2.400E-03,9.400E-01
2.19712E-01,2.000E-03,9.200E-01
2.19752E-01,2.000E-03,9.400E-01
2.19792E-01,1.600E-03,9.400E-01
2.19832E-01,1.600E-03,9.200E-01
