[s],CH1[V],CH2[V]
-3.4400E-01,5.000E-04,-5.600E-01
-3.4390E-01,5.000E-04,-5.400E-01
-3.4380E-01,9.000E-04,-5.600E-01
-3.4370E-01,7.000E-04,-5.600E-01
-3.4360E-01,5.000E-04,-5.600E-01
-3.4350E-01,5.000E-04,-5.800E-01
-3.4340E-01,7.000E-04,-5.800E-01
-3.4330E-01,5.000E-04,-5.400E-01
-3.4320E-01,9.000E-04,-5.200E-01
-3.4310E-01,5.000E-04,-5.600E-01
-3.4300E-01,9.000E-04,-5.600E-01
-3.4290E-01,7.000E-04,-5.600E-01
-3.4280E-01,7.000E-04,-5.400E-01
-3.4270E-01,7.000E-04,-5.200E-01
-3.4260E-01,-1.000E-04,-5.200E-01
-3.4250E-01,7.000E-04,-5.600E-01
-3.4240E-01,7.000E-04,-5.800E-01
-3.4230E-01,7.000E-04,-5.400E-01
-3.4220E-01,5.000E-04,-5.600E-01
-3.4210E-01,7.000E-04,-5.800E-01
-3.4200E-01,3.000E-04,-5.600E-01
-3.4190E-01,7.000E-04,-5.600E-01
-3.4180E-01,7.000E-04,-5.800E-01
-3.4170E-01,3.000E-04,-5.800E-01
-3.4160E-01,7.000E-04,-5.400E-01
-3.4150E-01,7.000E-04,-5.600E-01
-3.4140E-01,5.000E-04,-5.600E-01
-3.4130E-01,5.000E-04,-5.600E-01
-3.4120E-01,9.000E-04,-5.600E-01
-3.4110E-01,9.000E-04,-5.600E-01
-3.4100E-01,7.000E-04,-5.200E-01
-3.4090E-01,5.000E-04,-6.000E-01
-3.4080E-01,7.000E-04,-5.600E-01
-3.4070E-01,9.000E-04,-5.800E-01
-3.4060E-01,5.000E-04,-5.600E-01
-3.4050E-01,5.000E-04,-5.600E-01
-3.4040E-01,5.000E-04,-5.400E-01
-3.4030E-01,5.000E-04,-5.800E-01
-3.4020E-01,9.000E-04,-6.000E-01
-3.4010E-01,5.000E-04,-5.800E-01
-3.4000E-01,7.000E-04,-6.000E-01
-3.3990E-01,7.000E-04,-5.400E-01
