[s],CH1[V],CH2[V]
3.15960E-01,3.200E-03,7.400E-01
3.15964E-01,3.200E-03,7.800E-01
3.15968E-01,3.200E-03,7.600E-01
3.15972E-01,1.600E-03,7.600E-01
3.15976E-01,3.200E-03,7.600E-01
3.15980E-01,3.200E-03,7.800E-01
3.15984E-01,3.200E-03,7.600E-01
3.15988E-01,2.400E-03,7.800E-01
3.15992E-01,2.400E-03,7.600E-01
3.15996E-01,2.400E-03,7.600E-01
3.16000E-01,2.400E-03,7.600E-01
3.16004E-01,4.000E-03,7.600E-01
3.16008E-01,4.000E-03,7.400E-01
3.16012E-01,3.200E-03,7.800E-01
3.16016E-01,3.200E-03,7.600E-01
3.16020E-01,3.200E-03,7.800E-01
3.16024E-01,2.400E-03,7.400E-01
3.16028E-01,2.400E-03,7.800E-01
3.16032E-01,3.200E-03,7.200E-01
3.16036E-01,3.200E-03,7.800E-01
3.16040E-01,3.200E-03,7.600E-01
3.16044E-01,4.000E-03,8.000E-01
3.16048E-01,3.200E-03,7.600E-01
3.16052E-01,3.200E-03,7.400E-01
3.16056E-01,2.400E-03,7.600E-01
3.16060E-01,4.000E-03,7.400E-01
3.16064E-01,1.600E-03,7.800E-01
3.16068E-01,2.400E-03,7.600E-01
3.16072E-01,3.200E-03,7.400E-01
3.16076E-01,3.200E-03,7.800E-01
3.16080E-01,4.000E-03,7.400E-01
3.16084E-01,3.200E-03,7.400E-01
3.16088E-01,3.200E-03,7.400E-01
3.16092E-01,2.400E-03,7.600E-01
3.16096E-01,4.000E-03,7.800E-01
3.16100E-01,2.400E-03,7.600E-01
3.16104E-01,3.200E-03,7.800E-01
3.16108E-01,2.400E-03,7.400E-01
3.16112E-01,3.200E-03,7.400E-01
3.16116E-01,3.200E-03,7.600E-01
3.16120E-01,3.200E-03,7.800E-01
3.16124E-01,4.000E-03,7.600E-01
3.16128E-01,3.200E-03,7.600E-01
3.16132E-01,4.000E-03,7.600E-01
3.16136E-01,4.000E-03,7.400E-01
3.16140E-01,4.000E-03,7.600E-01
3.16144E-01,2.400E-03,7.600E-01
3.16148E-01,5.600E-03,7.600E-01
3.16152E-01,4.000E-03,7.600E-01
3.16156E-01,2.400E-03,7.400E-01
3.16160E-01,3.200E-03,7.600E-01
3.16164E-01,3.200E-03,7.600E-01
3.16168E-01,3.200E-03,7.400E-01
3.16172E-01,3.200E-03,7.800E-01
3.16176E-01,4.000E-03,7.600E-01
3.16180E-01,3.200E-03,7.800E-01
3.16184E-01,3.200E-03,7.800E-01
3.16188E-01,3.200E-03,7.800E-01
3.16192E-01,3.200E-03,7.400E-01
